Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Suriname,SUR,8.055,7.034
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sweden,SWE,10.5,8.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Switzerland,CHE,8.7,7.9
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Syrian Arab Republic,SYR,4.385,5.284
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tajikistan,TJK,7.382,4.843
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tanzania,TZA,12.772,6.183
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Thailand,THA,6.395,7.422
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Timor-Leste,TLS,9.68,7.477
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Togo,TGO,11.903,8.394
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tonga,TON,6.553,6.426
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Trinidad and Tobago,TTO,6.846,7.948
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tunisia,TUN,5.028,6.099
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turkiye,TUR,5.822,5.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turkmenistan,TKM,6.942,5.986
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turks and Caicos Islands,TCA,4.308,7.04
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tuvalu,TUV,10.015,9.19
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uganda,UGA,14.786,5.42
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Ukraine,UKR,15.171,13.079
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United Arab Emirates,ARE,2.004,0.958
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United Kingdom,GBR,10.3,9.019
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United States,USA,8.5,8.697
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uruguay,URY,9.504,9.754
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uzbekistan,UZB,7.006,5.97
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Vanuatu,VUT,5.334,5.494
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Venezuela, RB",VEN,4.934,6.802
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Viet Nam,VNM,5.486,6.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Virgin Islands (U.S.),VIR,6,8.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,West Bank and Gaza,PSE,4.5,3.134
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Yemen, Rep.",YEM,7.905,5.859
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Zambia,ZMB,16.198,6.482
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Zimbabwe,ZWE,16.254,8.281
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 02/24/2026,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
SP.DYN.CDRT.IN,CC BY-4.0,"Death rate, crude (per 1,000 people)","Crude death rate indicates the number of deaths occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices;
Demographic Statistics, Eurostat (ESTAT);
Population and Vital Statistics Report (various years), United Nations (UN), publisher: UN Statistical Division",Health: Population: Dynamics,WB_WDI,Per 1000 people,Annual,1960-2023,Weighted average,"Methodology: The crude death rate is calculated as the number of deaths in a given period divided by the population exposed to risk of death in that period. For human populations the period is usually one year and, if the population changes in size over the year, the divisor is taken as the population at the mid-year. The rate is usually expressed in terms of 1,000 people: for example, a crude death rate of 9.5 (per 1000 people) in a population of 1 million would imply 9500 deaths per year in the entire population.
Statistical concept(s): Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration. Vital rates are based on data from birth and death registration systems, censuses, and sample surveys by national statistical offices and other organizations, or on demographic analysis. Data for the most recent year for some high-income countries are provisional estimates based on vital registers. The estimates for many other countries are from the United Nations Population Division.","The crude death rate is a good indicator of the general health status of a geographic area or population. The crude death rate is not appropriate for comparison of different populations or areas with large differences in age-distributions. Higher crude death rates can be found in some developed countries, despite high life expectancy, because typically these countries have a much higher proportion of older people, due to lower recent birth rates and lower age-specific mortality rates.","Vital registers are the preferred source for these data, but in many developing countries systems for registering births and deaths are absent or incomplete because of deficiencies in the coverage of events or geographic areas. Many developing countries carry out special household surveys that ask respondents about recent births and deaths. Estimates derived in this way are subject to sampling errors and recall errors.",https://datacatalog.worldbank.org/public-licenses#cc-by
